Subject,Year,Session,ExamType,PaperNumber,PDF_Link
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Paper2.pdf
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Paper1.pdf
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Direct 6 Years Course Part 2 Final Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Direct 6 Years Course Part 2 Final Paper2.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Direct 6 years course Part 1 Paper2.pdf
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Surgery Direct 6 years course Part 1 Paper1.pdf
Pediatrics,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Neurology Paper3.pdf
Pediatrics,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Neurology Paper2.pdf
Pediatrics,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Neurology Paper1.pdf
PAEDIATRIC CRITICAL CARE,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB PAEDIATRIC CRITICAL CARE Paper3.pdf
PAEDIATRIC CRITICAL CARE,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB PAEDIATRIC CRITICAL CARE Paper2.pdf
PAEDIATRIC CRITICAL CARE,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB PAEDIATRIC CRITICAL CARE Paper1.pdf
Paediatric Cardiology,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Cardiology Paper3.pdf
Paediatric Cardiology,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Cardiology Paper2.pdf
Paediatric Cardiology,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Paediatric Cardiology Paper1.pdf
Neurology,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neurology Paper3.pdf
Neurology,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neurology Paper2.pdf
Neurology,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neurology Paper1.pdf
Neuro Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Paper3.pdf
Neuro Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Paper2.pdf
Neuro Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Paper1.pdf
Neuro Surgery Direct 6 Years Course Part 2 Final,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Direct 6 Years Course Part 2 Final Paper3.pdf
Neuro Surgery Direct 6 Years Course Part 2 Final,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Direct 6 Years Course Part 2 Final Paper2.pdf
Neuro Surgery Direct 6 years course Part 1,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Neuro Surgery Direct 6 years course Part 1 Paper2.pdf
